,,,,,,,,,,,
name, state,location,course_level,fees,branches,", min_score", max_score, review_text, rating.,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Electrical and Electronics Engineering,41807,113772,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Electrical and Electronics Engineering(SSC),115833,184650,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Electrical Engineering,32986,173959,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Electronics & Telecommunication Engineering,62600,161504,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Information Technology(SSC),63525,96255,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Mechanical Engineering,51201,179009,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Metallurgical and Materials Engineering,174158,364290,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Production Engineering,217415,424414,good,3,,
Veer Surendra Sai University of Technology,Odisha, Burla,UG,100000,Production Engineering(SSC),303638,530495,good,3,,
Adarsha College of Engineering,Odisha, Angul,UG,1000000,Computer Science and Engineering,540105,581382,good,3,,
Ajay Binaya Institute of Technology,Odisha, Cuttack,UG,100000,Computer Science and Engineering,513118,1106574,good,3,,
Ajay Binaya Institute of Technology,Odisha, Cuttack,UG,100000,Electrical and Computer Engineering,796202,924246,good,3,,
Ajay Binaya Institute of Technology,Odisha, Cuttack,UG,100000,Electrical Engineering,1101328,1105634,good,3,,
Ajay Binaya Institute of Technology,Odisha, Cuttack,UG,100000,Mechanical Engineering,1100461,1104852,good,3,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Civil Engineering,1100362,1104723,good,5,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Computer Science and Engineering,386139,1105240,good,5,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Electrical and Electronics Engineering,789225,1106472,good,5,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Electrical Engineering,1102715,1102715,good,5,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Electronics & Communication Engineering,906717,1105959,good,5,,
Aryan Institute of Engineering & Technology,Odisha, Barakuda,UG,100000,Mechanical Engineering,838897,1106102,good,5,,
Balasore College of Engineering & Technology,Odisha, Balasore,UG,100000,Civil Engineering,955694,955694,good,5,,
Balasore College of Engineering & Technology,Odisha, Balasore,UG,100000,Computer Science and Engineering,563957,1105902,good,5,,
Balasore College of Engineering & Technology,Odisha, Balasore,UG,100000,Electrical and Electronics Engineering,443209,443209,good,5,,
Balasore College of Engineering & Technology,Odisha, Balasore,UG,100000,Electrical Engineering,956570,963052,good,5,,
Balasore College of Engineering & Technology,Odisha, Balasore,UG,100000,Mechanical Engineering,1103603,1104044,good,5,,
Bhadrak Institute of Engineering & Technology,Odisha, Bhadrak,UG,100000,Civil Engineering,1104595,1104771,good,5,,
Bhadrak Institute of Engineering & Technology,Odisha, Bhadrak,UG,100000,Computer Science and Engineering,907096,1106288,good,5,,
Bhadrak Institute of Engineering & Technology,Odisha, Bhadrak,UG,100000,Mechanical Engineering,1101527,1104935,good,5,,
Bhubaneswar College of Engineering ,Odisha, Khurda,UG,100000,Civil Engineering,1105232,1105483,good,5,,
Bhubaneswar College of Engineering ,Odisha, Khurda,UG,100000,Computer Science and Engineering,426678,1103513,good,5,,
Bhubaneswar College of Engineering ,Odisha, Khurda,UG,100000,Electrical Engineering,943249,995010,good,5,,
